time_ms,method,roll_deg,pitch_deg,yaw_deg,compute_us
340,FUS,-2.04,3.49,-114.09,199
1345,FUS,1.92,4.33,-111.25,37
2350,FUS,3.87,5.17,-112.17,37
3355,FUS,3.64,5.42,-112.63,29
4360,FUS,0.72,4.89,-112.57,29
5365,FUS,-1.59,4.25,-112.11,37
6370,FUS,-3.45,4.23,-112.00,37
7375,FUS,-4.69,4.66,-113.63,29
8380,FUS,-4.37,3.90,-113.31,29
9385,FUS,-4.30,4.53,-113.46,29
10390,FUS,-4.26,4.50,-114.01,29
11395,FUS,-3.97,4.31,-114.04,29
12400,FUS,-4.28,5.95,-115.38,29
13405,FUS,-4.29,7.19,-117.37,29
14410,FUS,-4.23,6.72,-117.10,29
15415,FUS,-5.50,7.96,-117.59,29
16420,FUS,-5.55,6.77,-119.00,29
17425,FUS,-5.28,7.04,-115.59,29
18430,FUS,-4.53,5.91,-114.66,29
19435,FUS,-3.74,4.62,-112.28,37
20440,FUS,-4.38,3.52,-112.92,29
21445,FUS,-5.63,3.56,-112.63,29
22450,FUS,-3.51,3.58,-114.43,29
23455,FUS,-2.28,3.70,-114.60,29
24460,FUS,-1.81,3.76,-113.52,29
25465,FUS,-1.83,4.10,-114.22,29
26470,FUS,-1.35,3.94,-113.85,29
27475,FUS,-2.38,4.69,-115.41,29
28480,FUS,-2.51,4.42,-114.32,29
29485,FUS,-3.13,4.81,-114.19,29
30490,FUS,-2.92,5.11,-115.85,29
31495,FUS,-2.53,4.89,-113.76,29
32500,FUS,-6.99,4.93,-121.54,29
33505,FUS,8.14,4.20,-139.00,33
34510,FUS,20.83,4.71,-138.84,29
35515,FUS,25.69,5.89,-140.41,29
36520,FUS,27.57,5.69,-140.28,29
37525,FUS,26.31,6.01,-140.25,29
38530,FUS,25.28,6.14,-142.48,29
39535,FUS,23.64,7.02,-144.10,29
40540,FUS,23.27,6.91,-146.39,33
41545,FUS,22.87,7.36,-145.63,29
42550,FUS,22.89,7.39,-152.49,29
43555,FUS,25.28,7.28,-152.41,29
44560,FUS,27.15,7.20,-153.63,29
45565,FUS,28.17,7.11,-154.28,29
46570,FUS,28.81,6.78,-157.56,29
47575,FUS,29.09,7.20,-153.53,29
48580,FUS,28.30,7.39,-156.12,29
49585,FUS,27.83,7.09,-156.76,29
50590,FUS,28.52,7.82,-157.66,29
