time_ms,method,roll_deg,pitch_deg,yaw_deg,compute_us
340,FUS,-1.49,1.38,-153.73,203
1345,FUS,2.06,2.69,-152.83,29
2350,FUS,4.75,3.55,-152.09,28
3355,FUS,4.52,3.47,-152.90,28
4360,FUS,2.22,2.69,-152.98,28
5365,FUS,-0.06,1.97,-153.01,28
6370,FUS,-1.30,1.55,-152.88,28
7375,FUS,-1.82,1.35,-152.67,28
8380,FUS,-2.13,1.40,-152.64,28
9385,FUS,-2.11,1.33,-152.85,28
10390,FUS,-1.91,1.24,-152.66,28
11395,FUS,-1.80,1.40,-152.39,28
12400,FUS,-1.68,1.34,-153.06,28
13405,FUS,-1.64,1.36,-152.61,28
14410,FUS,-1.66,1.35,-153.32,28
15415,FUS,-1.56,1.42,-153.44,28
16420,FUS,-1.60,1.43,-152.72,28
17425,FUS,-1.54,1.39,-152.78,28
18430,FUS,-1.55,1.38,-152.90,28
19435,FUS,-1.44,1.43,-153.39,28
20440,FUS,-1.52,1.34,-153.21,28
21445,FUS,-1.58,1.36,-153.27,28
22450,FUS,-1.54,1.42,-153.15,28
23455,FUS,-1.53,1.39,-153.88,28
24460,FUS,-1.47,1.43,-153.48,28
25465,FUS,-1.48,1.42,-153.22,28
26470,FUS,-1.50,1.38,-153.38,28
27475,FUS,-1.55,1.38,-152.86,28
28480,FUS,-1.57,1.43,-153.76,28
29485,FUS,-1.55,1.45,-152.52,28
30490,FUS,-1.56,1.50,-152.97,28
31495,FUS,-1.57,1.40,-152.77,28
32500,FUS,-1.57,1.37,-152.63,28
33505,FUS,-1.51,1.33,-153.38,28
34510,FUS,-1.59,1.34,-152.73,28
35515,FUS,-1.54,1.34,-153.27,28
36520,FUS,-1.53,1.27,-152.11,28
37525,FUS,-1.50,1.30,-152.26,28
38530,FUS,-1.56,1.33,-152.60,28
39535,FUS,-1.52,1.28,-153.43,28
40540,FUS,-1.51,1.43,-153.17,28
41545,FUS,-1.50,1.43,-153.55,28
42550,FUS,-1.53,1.38,-152.88,28
43555,FUS,-1.51,1.41,-152.69,28
44560,FUS,-1.48,1.39,-153.25,28
45565,FUS,-1.50,1.39,-153.80,28
46570,FUS,-1.52,1.42,-152.78,28
47575,FUS,-1.62,1.43,-153.10,28
48580,FUS,-1.57,1.37,-152.83,28
49585,FUS,-1.55,1.37,-152.71,28
50590,FUS,-1.52,1.37,-153.62,28
51595,FUS,-1.53,1.41,-152.15,28
52600,FUS,-1.57,1.38,-154.02,28
53605,FUS,-1.53,1.38,-153.21,28
54610,FUS,-1.55,1.48,-154.07,28
55615,FUS,-1.56,1.48,-153.22,28
56620,FUS,-1.45,1.58,-152.45,28
57625,FUS,-1.53,1.48,-153.50,28
58630,FUS,-1.56,1.40,-152.81,28
59635,FUS,-1.53,1.34,-153.15,28
60640,FUS,-1.54,1.34,-153.48,28
61645,FUS,-1.46,1.32,-152.55,28
