time_ms,method,roll_deg,pitch_deg,yaw_deg,compute_us
340,FUS,89.47,2.08,112.47,196
1345,FUS,93.03,3.57,111.26,30
2350,FUS,95.65,4.68,114.54,29
3355,FUS,95.37,4.65,110.62,29
4360,FUS,93.05,3.55,112.61,29
5365,FUS,91.05,2.67,108.26,29
6370,FUS,89.79,2.26,111.72,29
7375,FUS,89.14,1.98,112.06,29
8380,FUS,88.89,1.86,110.03,29
9385,FUS,88.86,1.92,109.21,29
10390,FUS,88.96,1.99,110.84,29
11395,FUS,89.20,1.97,111.24,29
12400,FUS,89.33,2.09,110.24,29
13405,FUS,89.42,2.12,108.82,29
14410,FUS,89.45,2.08,108.41,29
15415,FUS,89.43,2.14,107.72,29
16420,FUS,89.42,2.16,109.50,29
17425,FUS,89.47,2.18,108.58,29
18430,FUS,89.40,2.14,107.97,29
19435,FUS,89.42,2.13,109.12,29
20440,FUS,89.48,2.18,109.58,29
21445,FUS,89.54,2.20,109.86,29
22450,FUS,89.51,2.15,106.58,29
23455,FUS,89.39,2.08,110.41,29
24460,FUS,89.40,2.11,108.09,29
25465,FUS,89.46,2.13,108.50,29
26470,FUS,89.47,2.11,109.85,29
27475,FUS,89.53,2.18,109.03,29
28480,FUS,89.43,2.17,106.90,29
29485,FUS,89.39,2.15,107.63,29
30490,FUS,89.41,2.09,110.18,29
31495,FUS,89.47,2.09,112.48,29
32500,FUS,89.52,2.09,110.38,29
33505,FUS,89.54,2.02,107.41,29
34510,FUS,89.31,2.05,108.25,29
35515,FUS,89.39,2.11,109.26,29
36520,FUS,89.36,2.01,108.45,29
37525,FUS,89.33,2.08,109.29,29
38530,FUS,89.37,2.17,109.43,29
39535,FUS,89.39,2.14,110.56,29
40540,FUS,89.43,2.15,113.22,29
41545,FUS,89.52,2.23,108.50,29
42550,FUS,89.65,2.25,110.58,29
43555,FUS,89.63,2.30,111.16,29
44560,FUS,89.66,2.17,111.17,29
45565,FUS,89.49,2.17,111.53,29
46570,FUS,89.46,2.17,108.82,29
47575,FUS,89.56,2.07,109.00,29
48580,FUS,89.57,2.10,109.89,29
49585,FUS,89.49,2.14,108.33,29
50590,FUS,89.47,2.13,111.50,29
51595,FUS,89.43,2.14,110.41,29
52600,FUS,89.41,2.10,109.40,29
53605,FUS,89.55,2.16,109.92,29
54610,FUS,89.55,2.17,108.58,29
55615,FUS,89.49,2.20,111.27,29
56620,FUS,89.43,2.14,109.94,29
57625,FUS,89.51,2.08,112.23,29
58630,FUS,89.53,2.02,109.31,29
59635,FUS,89.48,2.07,111.71,29
60640,FUS,89.38,2.11,110.04,29
61645,FUS,89.38,2.09,108.79,29
